District,Zone,Geographical Region,Development Region,Relief Material,In Quintal/Ton
Sindhupalchok,Bagmati,Mountain,Central,Tent,2686.0
Sindhupalchok,Bagmati,Mountain,Central,Tarpaulin,94305.0
Sindhupalchok,Bagmati,Mountain,Central,Blankets,26316.0
Sindhupalchok,Bagmati,Mountain,Central,Mattress,272.0
Sindhupalchok,Bagmati,Mountain,Central,Rice,16863.0
Sindhupalchok,Bagmati,Mountain,Central,Sugar,122.0
Sindhupalchok,Bagmati,Mountain,Central,Salt,104.0
Sindhupalchok,Bagmati,Mountain,Central,Beaten rice,1313.0
Sindhupalchok,Bagmati,Mountain,Central,Noodle,27015.0
Sindhupalchok,Bagmati,Mountain,Central,Biscuit,23425.0
Sindhupalchok,Bagmati,Mountain,Central,Carton of Water,3462.0
Sindhupalchok,Bagmati,Mountain,Central,Others,14.5
Rasuwa,Bagmati,Mountain,Central,Tent,1007.0
Rasuwa,Bagmati,Mountain,Central,Tarpaulin,17265.0
Rasuwa,Bagmati,Mountain,Central,Blankets,2347.0
Rasuwa,Bagmati,Mountain,Central,Rice,2913.0
Rasuwa,Bagmati,Mountain,Central,Sugar,38.0
Rasuwa,Bagmati,Mountain,Central,Salt,77.0
Rasuwa,Bagmati,Mountain,Central,Beaten rice,323.5
Rasuwa,Bagmati,Mountain,Central,Noodle,6221.0
Rasuwa,Bagmati,Mountain,Central,Biscuit,5801.0
Rasuwa,Bagmati,Mountain,Central,Carton of Water,80.0
Rasuwa,Bagmati,Mountain,Central,Others,54.0
Dhading,Bagmati,Hill,Central,Tent,105.0
Dhading,Bagmati,Hill,Central,Tarpaulin,39294.0
Dhading,Bagmati,Hill,Central,Blankets,2599.0
Dhading,Bagmati,Hill,Central,Rice,7572.0
Dhading,Bagmati,Hill,Central,Sugar,69.5
Dhading,Bagmati,Hill,Central,Salt,75.4
Dhading,Bagmati,Hill,Central,Beaten rice,520.0
Dhading,Bagmati,Hill,Central,Noodle,8040.0
Dhading,Bagmati,Hill,Central,Biscuit,6778.0
Dhading,Bagmati,Hill,Central,Carton of Water,1520.0
Dhading,Bagmati,Hill,Central,Others,56.0
Kavre,Bagmati,Hill,Central,Tent,766.0
Kavre,Bagmati,Hill,Central,Tarpaulin,72008.0
Kavre,Bagmati,Hill,Central,Blankets,30225.0
Kavre,Bagmati,Hill,Central,Mattress,243.0
Kavre,Bagmati,Hill,Central,Rice,7329.0
Kavre,Bagmati,Hill,Central,Sugar,108.0
Kavre,Bagmati,Hill,Central,Salt,90.0
Kavre,Bagmati,Hill,Central,Beaten rice,603.0
Kavre,Bagmati,Hill,Central,Noodle,15605.0
Kavre,Bagmati,Hill,Central,Biscuit,8365.0
Kavre,Bagmati,Hill,Central,Carton of Water,1804.0
Kavre,Bagmati,Hill,Central,Others,115.0
Nuwakot,Bagmati,Hill,Central,Tent,549.0
Nuwakot,Bagmati,Hill,Central,Tarpaulin,53245.0
Nuwakot,Bagmati,Hill,Central,Blankets,5818.0
Nuwakot,Bagmati,Hill,Central,Mattress,304.0
Nuwakot,Bagmati,Hill,Central,Rice,8391.0
Nuwakot,Bagmati,Hill,Central,Sugar,50.5
Nuwakot,Bagmati,Hill,Central,Salt,74.0
Nuwakot,Bagmati,Hill,Central,Beaten rice,837.0
Nuwakot,Bagmati,Hill,Central,Noodle,14090.0
Nuwakot,Bagmati,Hill,Central,Biscuit,4021.0
Nuwakot,Bagmati,Hill,Central,Carton of Water,2598.0
Nuwakot,Bagmati,Hill,Central,Others,5.0
Sindhuli,Janakpur,Hill,Central,Tent,507.0
Sindhuli,Janakpur,Hill,Central,Tarpaulin,31690.0
Sindhuli,Janakpur,Hill,Central,Blankets,14879.0
Sindhuli,Janakpur,Hill,Central,Mattress,734.0
Sindhuli,Janakpur,Hill,Central,Rice,756.0
Sindhuli,Janakpur,Hill,Central,Sugar,22.5
Sindhuli,Janakpur,Hill,Central,Salt,26.0
Sindhuli,Janakpur,Hill,Central,Beaten rice,9.0
Sindhuli,Janakpur,Hill,Central,Noodle,1370.0
Sindhuli,Janakpur,Hill,Central,Biscuit,2540.0
Sindhuli,Janakpur,Hill,Central,Carton of Water,540.0
Sindhuli,Janakpur,Hill,Central,Others,58.0
Okhaldhunga,Sagarmatha,Hill,Eastern,Tent,143.0
Okhaldhunga,Sagarmatha,Hill,Eastern,Tarpaulin,23060.0
Okhaldhunga,Sagarmatha,Hill,Eastern,Blankets,6843.0
Okhaldhunga,Sagarmatha,Hill,Eastern,Mattress,144.0
Okhaldhunga,Sagarmatha,Hill,Eastern,Rice,729.5
Okhaldhunga,Sagarmatha,Hill,Eastern,Sugar,0.27
Okhaldhunga,Sagarmatha,Hill,Eastern,Salt,13.0
Okhaldhunga,Sagarmatha,Hill,Eastern,Beaten rice,20.7
Okhaldhunga,Sagarmatha,Hill,Eastern,Noodle,3500.0
Okhaldhunga,Sagarmatha,Hill,Eastern,Biscuit,755.0
Okhaldhunga,Sagarmatha,Hill,Eastern,Carton of Water,24.0
Okhaldhunga,Sagarmatha,Hill,Eastern,Others,1.0
Ramechhap,Janakpur,Hill,Central,Tent,1012.0
Ramechhap,Janakpur,Hill,Central,Tarpaulin,59478.0
Ramechhap,Janakpur,Hill,Central,Blankets,11541.0
Ramechhap,Janakpur,Hill,Central,Rice,1208.0
Ramechhap,Janakpur,Hill,Central,Sugar,56.0
Ramechhap,Janakpur,Hill,Central,Salt,16.0
Ramechhap,Janakpur,Hill,Central,Beaten rice,153.5
Ramechhap,Janakpur,Hill,Central,Noodle,5059.0
Ramechhap,Janakpur,Hill,Central,Biscuit,1974.0
Ramechhap,Janakpur,Hill,Central,Carton of Water,322.0
Ramechhap,Janakpur,Hill,Central,Others,2620.0
Gorkha,Gandaki,Hill,Western,Tent,120.0
Gorkha,Gandaki,Hill,Western,Tarpaulin,57363.0
Gorkha,Gandaki,Hill,Western,Blankets,2971.0
Gorkha,Gandaki,Hill,Western,Mattress,70.0
Gorkha,Gandaki,Hill,Western,Rice,9371.0
Gorkha,Gandaki,Hill,Western,Sugar,104.5
Gorkha,Gandaki,Hill,Western,Salt,157.0
Gorkha,Gandaki,Hill,Western,Beaten rice,499.0
Gorkha,Gandaki,Hill,Western,Noodle,12628.0
Gorkha,Gandaki,Hill,Western,Biscuit,12792.0
Gorkha,Gandaki,Hill,Western,Carton of Water,1801.0
Gorkha,Gandaki,Hill,Western,Others,7.0
Dolakha,Janakpur,Mountain,Central,Tent,2934.0
Dolakha,Janakpur,Mountain,Central,Tarpaulin,102492.0
Dolakha,Janakpur,Mountain,Central,Blankets,21048.0
Dolakha,Janakpur,Mountain,Central,Mattress,150.0
Dolakha,Janakpur,Mountain,Central,Rice,2791.4
Dolakha,Janakpur,Mountain,Central,Sugar,46.0
Dolakha,Janakpur,Mountain,Central,Salt,64.0
Dolakha,Janakpur,Mountain,Central,Beaten rice,446.7
Dolakha,Janakpur,Mountain,Central,Noodle,24771.0
Dolakha,Janakpur,Mountain,Central,Biscuit,4747.0
Dolakha,Janakpur,Mountain,Central,Carton of Water,844.0
Dolakha,Janakpur,Mountain,Central,Others,30.0
Makwanpur,Narayani,Hill,Central,Tent,618.0
Makwanpur,Narayani,Hill,Central,Tarpaulin,19511.0
Makwanpur,Narayani,Hill,Central,Blankets,2904.0
Makwanpur,Narayani,Hill,Central,Rice,413.0
Makwanpur,Narayani,Hill,Central,Sugar,20.0
Makwanpur,Narayani,Hill,Central,Salt,24.5
Makwanpur,Narayani,Hill,Central,Beaten rice,90.0
Makwanpur,Narayani,Hill,Central,Noodle,2230.0
Makwanpur,Narayani,Hill,Central,Biscuit,1240.0
Makwanpur,Narayani,Hill,Central,Carton of Water,110.0
Makwanpur,Narayani,Hill,Central,Others,0.0
Kathmandu,Bagmati,Hill,Central,Tent,191.0
Kathmandu,Bagmati,Hill,Central,Tarpaulin,113588.0
Kathmandu,Bagmati,Hill,Central,Blankets,1632.0
Kathmandu,Bagmati,Hill,Central,Mattress,263.0
Kathmandu,Bagmati,Hill,Central,Rice,4717.0
Kathmandu,Bagmati,Hill,Central,Sugar,35.0
Kathmandu,Bagmati,Hill,Central,Salt,152.0
Kathmandu,Bagmati,Hill,Central,Beaten rice,747.0
Kathmandu,Bagmati,Hill,Central,Noodle,24722.0
Kathmandu,Bagmati,Hill,Central,Biscuit,14446.0
Kathmandu,Bagmati,Hill,Central,Carton of Water,21983.0
Kathmandu,Bagmati,Hill,Central,Others,70.0
Lalitpur,Bagmati,Hill,Central,Tent,85.0
Lalitpur,Bagmati,Hill,Central,Tarpaulin,47798.0
Lalitpur,Bagmati,Hill,Central,Blankets,1005.0
Lalitpur,Bagmati,Hill,Central,Rice,1424.0
Lalitpur,Bagmati,Hill,Central,Sugar,21.5
Lalitpur,Bagmati,Hill,Central,Salt,36.0
Lalitpur,Bagmati,Hill,Central,Beaten rice,523.0
Lalitpur,Bagmati,Hill,Central,Noodle,12678.0
Lalitpur,Bagmati,Hill,Central,Biscuit,1970.0
Lalitpur,Bagmati,Hill,Central,Carton of Water,6917.0
Lalitpur,Bagmati,Hill,Central,Others,651.0
Bhaktapur,Bagmati,Hill,Central,Tent,350.0
Bhaktapur,Bagmati,Hill,Central,Tarpaulin,40174.0
Bhaktapur,Bagmati,Hill,Central,Blankets,45.0
Bhaktapur,Bagmati,Hill,Central,Rice,1759.0
Bhaktapur,Bagmati,Hill,Central,Sugar,23.0
Bhaktapur,Bagmati,Hill,Central,Salt,36.5
Bhaktapur,Bagmati,Hill,Central,Beaten rice,568.0
Bhaktapur,Bagmati,Hill,Central,Noodle,18335.0
Bhaktapur,Bagmati,Hill,Central,Biscuit,6261.0
Bhaktapur,Bagmati,Hill,Central,Carton of Water,5651.0
Bhaktapur,Bagmati,Hill,Central,Others,0.0
Lamjung,Gandaki,Hill,Western,Tent,222.0
Lamjung,Gandaki,Hill,Western,Tarpaulin,4425.0
Lamjung,Gandaki,Hill,Western,Rice,325.0
Lamjung,Gandaki,Hill,Western,Salt,5.0
Lamjung,Gandaki,Hill,Western,Noodle,3450.0
Lamjung,Gandaki,Hill,Western,Biscuit,2884.0
Lamjung,Gandaki,Hill,Western,Carton of Water,10.0
Lamjung,Gandaki,Hill,Western,Others,0.0
Solukhumbu,Sagarmatha,Mountain,Eastern,Tent,1195.0
Solukhumbu,Sagarmatha,Mountain,Eastern,Tarpaulin,19658.0
Solukhumbu,Sagarmatha,Mountain,Eastern,Salt,8.0
Tanahu,Gandaki,Hill,Western,Tent,4.05
Tanahu,Gandaki,Hill,Western,Tarpaulin,253.0
Others,,,,Tent,375.0
Others,,,,Tarpaulin,88521.0
