Organization Name,Cluster,District Name,Description,Amount
Room To Read,Shelter and Non-food Items,"Dhading, Nuwakot ",Building Private Habitat,235731176
Save the Children,"Shelter, Water Sanitation and Hygiene, Nutrition","Gorkha, Sindhupalchok, Dolakha, Dhading, Rasuwa, Nuwakot","Shelter, WASH, Child Protection, Health and Nutrition",9876974000
Dhurmus Suntali Foundation,Shelter and Non-food Items,Sindhupalchok,Building Private Habitat,32500000
NRN,Shelter and Non-food Items,Gorkha,Integrated settlement development,928836482
WOREC Nepal,Shelter and Non-food Items,Sindhupalchok,Building Habitats,30750375
TEARFUND,Shelter and Non-food Items,Makwanpur,Build Private Habitat,233084275
TEARFUND,"Shelter and Non-food Items, Protection, Water Sanitation and Hygiene",Makwanpur,"Shelter, WASH, DRR, Livelihood, Protection",838164997
Lutheran World Federation Nepal,"Shelter and Non-food Items, Water Sanitation and Hygiene",Kavre,"Permanent House reconstruction, HH Latrine Support, Drinking Water Supply Rehabilitation, Livelihood Improvement, Rehabilitation of Farmer’s Managed Small Irrigation System, WASH",227999990
Lutheran World Federation Nepal,"Shelter and Non-food Items, Water Sanitation and Hygiene",Rasuwa,"Shelter Construction, Mason training, WASH and Livelihood",32259900
Lutheran World Federation Nepal,"Water Sanitation and Hygiene, Health","Sindhupalchok, Lalitpur, Kathmandu, Rasuwa","Livelihood Improvement, WASH, Emergency Management and Psychological counseling",568130290
Lutheran World Relief,Shelter and Non-food Items,Lamjung,Building Private Habitat,99586604
EWDE-DKH,"Shelter and Non-food Items, Water Sanitation and Hygiene",Lalitpur,"Private habitat, WASH, DRR",117038291
CARITAS Nepal,Shelter and Non-food Items,"Dolakha, Sindhupalchok, Kavre",Building Private Habitat,1561803203
Samaritan’s Purse International,Shelter and Non-food Items,"Rasuwa, Kavre",Building Private Habitat,250000000
Peace Winds Japan,"Shelter and Non-food Items, Early Recovery",Sindhupalchok,"Rehabilitation of Community Infrastructure, Construction of Community Buildings, Mason Training",22211700
Handicap International,Shelter and Non-food Items,Dolakha,Support to Vulnerable Households from resilience and livelihood,44996975
World Vision International Nepal,"Shelter and Non-food Items, Water Sanitation and Hygiene","Dolakha, Sindhupalchok, Nuwakot, Dhading, Gorkha","Private habitat, WASH, Building Health Center",3272820200
Lumanti Support Group for Shelter,Shelter and Non-food Items,Rasuwa,Building Private Habitat,170426375
Lumanti Support Group for Shelter,Shelter and Non-food Items,Not available,Building Private Habitat,923370000
Lumanti Support Group for Shelter,Shelter and Non-food Items,Lalitpur,Building Private Habitat,72948010
HELVETAS Nepal,Shelter and Non-food Items,Sindhupalchok,Building Private Habitat,946505456
Practical Action,Not applicable,"Nuwakot, Rasuwa",Training,442500000
ACTED,Shelter and Non-food Items,"Okhaldhunga, Dhading","Training, Transitional Shelter",75670982
UMN,"Shelter and Non-food Items, Water Sanitation and Hygiene",Dhading,Drinking Water and toilet construction,42471392
World Renew,Shelter and Non-food Items,Nuwakot,"Building habitat, Mason Training,
Debris Management, Social Mobilization, Financial and Technical Support",240893693
Norlha Helping people in the Himalayas,Shelter and Non-food Items,Rasuwa,"Building Better Lives, Rebuilding Livelihoods",35542160
INF Nepal,"Shelter and Non-food Items, Education, Health",Not available,"Building habitat, Education, Health, Livelihood",241540017
Help EV,"Shelter and Non-food Items, Water Sanitation and Hygiene",Sindhupalchok,"Reconstruction, WASH and livelihood recovery",215730342
Care Nepal,"Education, Health",Gorkha,"Training, Education, Health, Livelihood",1721288600
Miyamoto Global Disaster Relief,Shelter and Non-food Items,Kathmandu,Building Hanuman-Dhoka ,80000000
Habitat for Humanity,"Shelter and Non-food Items, Early Recovery","Nuwakot, Sindhupalchok","Building habitat, community infrastructure, training",310000000
