Name_of_interviewer,Agency,Date,Record_Location,_Record_Location_latitude,_Record_Location_longitude,_Record_Location_altitude,_Record_Location_precision,District,VDC_Municipality,Ward_,Age,Gender,Caste_ethnicity,If__other__what_is_your_caste_,Occupation,If_other_occupa,Do_you_have_any_health_problem,_1_Are_your_main_problems_bein,_1a_What_is_your_biggest_probl,_1a_If_other_what_is_your_bigge,_1b_What_is_your_second_biggest,_1b_If_other_what_is_your_secon,_1c_What_is_your_third_biggest_,_1c_If_other_what_is_your_third,_2_Satisfied_with_gov,_2a_Top_thing_gov,_2a_If_other_top_thing_gov,_2b_Second_thing_gov,_2b_If_other_second_thing_gov,_3_Do_you_have_information,_3a_Top_need_info,_3a_If_other_top_need_info,_3b_Second_need_info,_3b_If_other_second_need_info,_4_Satisfied_with_NGOs,_4a_Top_need_NGOs,_4a_If_other_top_need_NGOs,_4b_Second_need_NGOs,_4b_If_other_second_need_NGOs,_5_Is_support_fair,_5a_Top_reason_not_fair,_5a_If_other_top_reason_not_fai,_5b_Second_reason_not_fair,_5b_If_other_second_reason_not_,_6_Prepared_for_monsoon,_7_Have_been_heard,_8_Relief_effort_progress,_9_Main_problems_women,_9a_Top_problem_women,_9a_If_other_top_problem_women,_9b_Second_problem_women,_9b_If_other_second_problem_wom,start,end,meta/instanceID,_uuid,_submission_time,_tags,,,,,,,,,,,,,,,,_notes
Sunayana Bhetwal,accountability,25/08/2015,n/a,n/a,n/a,n/a,n/a,Bhaktapur,Bhaktapur NP,4,55_greater,male,Newar,n/a,farmer_laborer,n/a,no_difficulty,4___mostly_yes,n/a,n/a,n/a,n/a,n/a,n/a,2___very_little,building_mater,n/a,cash_for_work,n/a,don_t_know,n/a,n/a,n/a,n/a,1___not_at_all,building_mater,n/a,cash_for_work,n/a,4___mostly_yes,n/a,n/a,n/a,n/a,5___completely_yes,don_t_know,don_t_know,n/a,n/a,n/a,n/a,n/a,2015-08-30T12:24:45.000+06:45,2015-08-30T12:26:52.000+06:45,uuid:4856a297-7a9b-48fc-a65d-c4cc75f39829,4856a297-7a9b-48fc-a65d-c4cc75f39829,2015-08-30T06:40:22,,,,,,,,,,,,,,,,,
Alisha Thapaliya,accountability,25/08/2015,n/a,n/a,n/a,n/a,n/a,Bhaktapur,Bhaktapur NP,4,40_54,female,Newar,n/a,other,Housewife,no_difficulty,1___not_at_all,long_term_shelter__housing,n/a,psychosocial_counseling,n/a,livelihoods,n/a,1___not_at_all,building_mater,n/a,cash_for_work,n/a,1___not_at_all,how_to_get_shelter_materials,n/a,news_about_government_decision,n/a,4___mostly_yes,n/a,n/a,n/a,n/a,don_t_know,n/a,n/a,n/a,n/a,1___not_at_all,1___not_at_all,1___not_at_all,2___very_little,long_term_shelter__housing,n/a,toilets_sanitation,n/a,2015-08-30T12:21:25.000+06:45,2015-08-30T12:24:04.000+06:45,uuid:790e7352-5d12-4e93-8c33-908ccce96e89,790e7352-5d12-4e93-8c33-908ccce96e89,2015-08-30T06:37:34,,,,,,,,,,,,,,,,,
Alisha Thapaliya,accountability,25/08/2015,n/a,n/a,n/a,n/a,n/a,Bhaktapur,Bhaktapur NP,4,40_54,female,Newar,n/a,farmer_laborer,n/a,no_difficulty,1___not_at_all,long_term_shelter__housing,n/a,psychosocial_counseling,n/a,livelihoods,n/a,1___not_at_all,building_mater,n/a,cash_for_work,n/a,1___not_at_all,how_to_get_shelter_materials,n/a,how_to_get_healthcare_psycholo,n/a,1___not_at_all,building_mater,n/a,cash_for_work,n/a,don_t_know,n/a,n/a,n/a,n/a,1___not_at_all,1___not_at_all,1___not_at_all,2___very_little,long_term_shelter__housing,n/a,financial_support,n/a,2015-08-30T12:18:22.000+06:45,2015-08-30T12:21:25.000+06:45,uuid:506be934-0069-4523-9971-4a92e4477154,506be934-0069-4523-9971-4a92e4477154,2015-08-30T06:34:55,,,,,,,,,,,,,,,,,
Sunayana Bhetwal,accountability,25/08/2015,n/a,n/a,n/a,n/a,n/a,Bhaktapur,Bhaktapur NP,4,40_54,female,Newar,n/a,farmer_laborer,n/a,no_difficulty,1___not_at_all,short_term_she,n/a,psychosocial_counseling,n/a,food,n/a,1___not_at_all,building_mater,n/a,cash_for_work,n/a,2___very_little,how_to_get_shelter_materials,n/a,news_about_government_decision,n/a,1___not_at_all,building_mater,n/a,cash_for_work,n/a,don_t_know,n/a,n/a,n/a,n/a,1___not_at_all,1___not_at_all,1___not_at_all,1___not_at_all,short_term_shelter__tent_shelt,n/a,livelihoods,n/a,2015-08-30T12:13:14.000+06:45,2015-08-30T12:18:22.000+06:45,uuid:2f75d4ab-22a9-40e2-91c8-a1a186d8fb95,2f75d4ab-22a9-40e2-91c8-a1a186d8fb95,2015-08-30T06:31:52,,,,,,,,,,,,,,,,,
Alisha Thapaliya,accountability,25/08/2015,n/a,n/a,n/a,n/a,n/a,Bhaktapur,Bhaktapur NP,4,55_greater,male,Newar,n/a,farmer_laborer,n/a,yes__a_lot_of_,1___not_at_all,long_term_shelter__housing,n/a,livelihoods,n/a,financial_support,n/a,1___not_at_all,cash_for_work,n/a,building_mater,n/a,2___very_little,how_to_get_shelter_materials,n/a,news_about_government_decision,n/a,1___not_at_all,cash_for_work,n/a,building_mater,n/a,4___mostly_yes,n/a,n/a,n/a,n/a,1___not_at_all,1___not_at_all,don_t_know,n/a,n/a,n/a,n/a,n/a,2015-08-30T12:26:52.000+06:45,2015-08-30T12:30:33.000+06:45,uuid:05ca9f9d-00b8-4004-9f71-cdbd506d41f4,05ca9f9d-00b8-4004-9f71-cdbd506d41f4,2015-08-30T06:44:02,,,,,,,,,,,,,,,,,
Alisha Thapaliya,accountability,26/08/2015,n/a,n/a,n/a,n/a,n/a,Bhaktapur,Bhaktapur NP,5,55_greater,male,Newar,n/a,farmer_laborer,n/a,no_difficulty,1___not_at_all,long_term_shelter__housing,n/a,livelihoods,n/a,financial_support,n/a,1___not_at_all,building_mater,n/a,cash_for_work,n/a,1___not_at_all,news_about_government_decision,n/a,how_to_get_shelter_materials,n/a,1___not_at_all,building_mater,n/a,cash_for_work,n/a,1___not_at_all,because_people,n/a,only_if_damage,n/a,4___mostly_yes,1___not_at_all,1___not_at_all,n/a,n/a,n/a,n/a,n/a,2015-08-30T12:30:33.000+06:45,2015-08-30T12:35:10.000+06:45,uuid:07b50f51-91fa-4942-824e-5b73ae52fa2e,07b50f51-91fa-4942-824e-5b73ae52fa2e,2015-08-30T06:48:40,,,,,,,,,,,,,,,,,
Sunayana Bhetwal,accountability,26/08/2015,n/a,n/a,n/a,n/a,n/a,Bhaktapur,Bhaktapur NP,5,55_greater,male,Newar,n/a,farmer_laborer,n/a,yes__a_lot_of_,4___mostly_yes,n/a,n/a,n/a,n/a,n/a,n/a,2___very_little,building_mater,n/a,cash_for_work,n/a,2___very_little,how_to_get_shelter_materials,n/a,how_to_register_for_access_sup,n/a,4___mostly_yes,n/a,n/a,n/a,n/a,4___mostly_yes,n/a,n/a,n/a,n/a,2___very_little,1___not_at_all,2___very_little,n/a,n/a,n/a,n/a,n/a,2015-08-30T12:35:10.000+06:45,2015-08-30T12:37:40.000+06:45,uuid:4935ac38-4b10-438b-a235-8ae38a1eae08,4935ac38-4b10-438b-a235-8ae38a1eae08,2015-08-30T06:51:11,,,,,,,,,,,,,,,,,
Alisha Thapaliya,accountability,26/08/2015,n/a,n/a,n/a,n/a,n/a,Bhaktapur,Bhaktapur NP,5,25_39,female,Newar,n/a,skilled_worker,n/a,no_difficulty,1___not_at_all,long_term_shelter__housing,n/a,financial_support,n/a,healthcare,n/a,1___not_at_all,cash_for_work,n/a,building_mater,n/a,1___not_at_all,news_about_government_decision,n/a,how_to_get_shelter_materials,n/a,1___not_at_all,building_mater,n/a,cash_for_work,n/a,don_t_know,n/a,n/a,n/a,n/a,1___not_at_all,1___not_at_all,1___not_at_all,1___not_at_all,long_term_shelter__housing,n/a,healthcare,n/a,2015-08-30T12:37:40.000+06:45,2015-08-30T12:40:23.000+06:45,uuid:37069e70-fcd5-49ff-99b8-2fab412524b2,37069e70-fcd5-49ff-99b8-2fab412524b2,2015-08-30T06:53:53,,,,,,,,,,,,,,,,,
Sunayana Bhetwal,accountability,26/08/2015,n/a,n/a,n/a,n/a,n/a,Bhaktapur,Bhaktapur NP,5,40_54,female,Newar,n/a,other,Housewife,no_difficulty,1___not_at_all,long_term_shelter__housing,n/a,housing_inspections,n/a,financial_support,n/a,2___very_little,cash_for_work,n/a,building_mater,n/a,2___very_little,how_to_get_shelter_materials,n/a,how_to_register_for_access_sup,n/a,4___mostly_yes,n/a,n/a,n/a,n/a,don_t_know,n/a,n/a,n/a,n/a,2___very_little,2___not_very_m,1___not_at_all,1___not_at_all,long_term_shelter__housing,n/a,housing_inspections,n/a,2015-08-30T12:40:23.000+06:45,2015-08-30T12:42:40.000+06:45,uuid:786b45aa-4b2e-4c03-9681-208ecb565c22,786b45aa-4b2e-4c03-9681-208ecb565c22,2015-08-30T06:56:10,,,,,,,,,,,,,,,,,
Alisha Thapaliya,accountability,26/08/2015,n/a,n/a,n/a,n/a,n/a,Bhaktapur,Bhaktapur NP,5,25_39,female,Newar,n/a,other,Housewife,no_difficulty,1___not_at_all,long_term_shelter__housing,n/a,housing_inspections,n/a,financial_support,n/a,2___very_little,cash_for_work,n/a,building_mater,n/a,2___very_little,how_to_get_shelter_materials,n/a,how_to_register_for_access_sup,n/a,4___mostly_yes,n/a,n/a,n/a,n/a,don_t_know,n/a,n/a,n/a,n/a,2___very_little,1___not_at_all,1___not_at_all,2___very_little,long_term_shelter__housing,n/a,housing_inspections,n/a,2015-08-30T12:42:40.000+06:45,2015-08-30T12:44:36.000+06:45,uuid:c19b1087-3dec-476a-940a-aa9875a3a1fd,c19b1087-3dec-476a-940a-aa9875a3a1fd,2015-08-30T06:58:07,,,,,,,,,,,,,,,,,
