District,VDC_Municipality,Ward_,Age,Gender,Caste_ethnicity,If__other__what_is_your_caste_,Occupation,If_other_occupation,Do_you_have_any_health_problem,For_the_following_questions__I,_1_Are_your_main_problems_being_addressed_?,_1a_What_is_your_biggest_problem_?,If__other__what_is_your_biggest_problem_?,_1b_What_is_your_second_biggest_prpblem_?,If__other__what_is_your_second_biggest_problem_?,_1c_What_is_your_third_biggest_problem_?,If__other__what_is_your_third_biggest_problem_?,_2_Are_you_satisfied_with_what_the_government_is_doing_for_you_after_the_earthquake_?,_2a_What_is_the_first_reason_you_not_satisfied_with_government?,If_other_top_reasons,_2b_What_is_the_second_reason_you_are_not_satisfied_with_government?,If_other_second_reason,_3_Do_ you_have_the_information_you_need_to_get_relief_and_support? ,_3a_What_is_the_top_thing_that_you_need_information_about?,If_other_top_need_information,_3b_What_is_the_second_most_important_thing_that_you_need_information_about?,If_other_second_need_information,_4_Are_you_satisfied_with_what_NGOs_are_doing_for_you_after_the_earthquake? ,_4a_What_is_the_first_reason_you_not_satisfied_with_NGO_support?,If_other_top_reason_for_unsatisfaction_with_NGOs,_4b_What_is_the_second_reason_you_are_not_satisfied_with_NGOs?,If_other_second_reason_for _unsatisfaction_with_NGO,_5_Are_you_Prepared_for_winter?,_5a_Whati_is_the_main_reason_you_feel_you_are_not_prepared?,If_other_why_not_prepared?,_6_Do_you_have_problems_related_to_children_in_you_household_or_family_in_the_post-earthquake_period? ,_6a_What_is_the_main_problem_for_the_children?,If_other_What_is_the_main_problem_for_the_children?,_6b_What_is_the_second_top_problem_for_the_children?,If_other_What_is_the_second_top_problem_for_the_children?,_7_Overall_is_the_post-earthquake_relief_effort_making_progress? ,_8_Do_you_feel_there_has_been_an_increase_in_the_environment_of_tension_or_risk_of_violence_or_harassment_since_the_earthquake?,_8a_Who_has_this_increased_risk_come from?,If_others_Who_has_this_increased_risk_come from?,_9_Do_you_feel_that_the_children_in_your_family_are_in_a_safe_place_while_attending_school? ,_10_Do_you_need_to_rebuild_repair_or_retrofit_your_home_because_of_damage_caused_by_earthquakes?,_10a_Where_do_you_plan_to_get_the_resources_or_funds_to_rebuild/repair /retrofit_your_home?,If_other_where_do_you_plan_t,_10b_What_factors_do_you_base_your_rebuild/repair/ retrofitting_decisions_on?,If_other_what_factors_do_you_base,_11_Do_you_feel_your_community_has_recovered_from_the_earthquake? ,_11a_What_is _the_main_thing_your_community_to_recover?,If_other_What_is _the_main_thing_your_community_to_recover?,_11b_What_is_the_second_main_thing_your_community_recover?,If_other_What_is_the_second_main_thing_your_community_recover?
makwanpur,Manahari,9,40_54,male,tamang,,farmer_laborer,,no_difficulty,,1___not_at_all,long_term_shelter__housing,,financial_support,,short_term_shelter__tent_shelter,,2___very_little,Government_plans_unclear,,Government_does_not_know_what_it_is_doing,,2___very_little,news_about_government_decision,,other,Weak VDC employees,don_t_know,,,,,4___mostly_yes,,,2_somewhat_yes,psycho_social_support,,health_care,,refused,,,,2_not_very_much,completely_yes,government_loan,,building_requirements_released_by_government,,2___not_very_much,repair_reconstruction_of_community_buildings,,reduce_risk_of_future_disaster,
dhading,Khalte,1,40_54,female,gurung,,farmer_laborer,,no_difficulty,,1___not_at_all,long_term_shelter__housing,,education,,toilets_sanitation,,1___not_at_all,Government_plans_unclear,,Was_promised_relief_but_never_received,,4___mostly_yes,,,,,2___very_little,relief_distributed_based_on_political_parties,,ngo_donot_listen_to_my_concerns,,1___not_at_all,house/shelter_will_not_protect_against_cold,,2_somewhat_yes,safety_at_school(due_to_structure),,access_to_education_(closed_school),,2___very_little,don_t_know,,,5_completely_yes,completely_yes,government_loan,,confidence_gov,,1___not_at_all,repair_reconstruction_of_community_buildings,,repair_reconstruction_of_schools,
kathmandu,Goldhunga,5,40_54,male,newar,,ngo_worker_business,,no_difficulty,,4___mostly_yes,,,,,,,4___mostly_yes,,,,,4___mostly_yes,,,,,4___mostly_yes,,,,,4___mostly_yes,,,5_not_at_all,,,,,4___mostly_yes,,,,1__not_at_all,completely_yes,government_grant,,confidence_gov,,4___somewhat_yes,,,,
kathmandu,Ichangu Narayan,8,40_54,male,chhetri,,farmer_laborer,,no_difficulty,,2___very_little,long_term_shelter__housing,,financial_support,,psychosocial_counseling,,2___very_little,Was_promised_relief_but_never_received,,Don´t_know_where_distribution_sites_are,,2___very_little,news_about_government_decision,,how_to_get_shelter_materials,,4___mostly_yes,,,,,2___very_little,house/shelter_will_not_protect_against_cold,,refused,,,,,don_t_know,,,,1__not_at_all,completely_yes,government_loan,,confidence_gov,,2___not_very_much,livelihood_options_training,,reconstruction_advice_training,
sindhuli,sitalpati,7,25_39,male,dalit,,skilled_worker,,no_difficulty,,1___not_at_all,short_term_shelter__tent_shelt,,financial_support,,toilets_sanitation,,4___mostly_yes,,,,,1___not_at_all,how_to_register_for_access_support,,how_to_replace_personal_documentation,,5___completely_yes,,,,,1___not_at_all,house/shelter_will_not_protect_against_cold,,5_not_at_all,,,,,5___completely_yes,,,,1__not_at_all,completely_yes,government_grant,,confidence_gov,,5___completely_yes,,,,
sindhuli,sitalpati,7,15_24,female,dalit,,farmer_laborer,,no_difficulty,,2___very_little,short_term_shelter__tent_shelt,,long_term_shelter__housing,,financial_support,,5___completely_yes,,,,,5___completely_yes,,,,,4___mostly_yes,,,,,5___completely_yes,,,2_somewhat_yes,access_to_education_Closed_schools,,vulnerability_to_trafficking,,5___completely_yes,don_t_know,,,3_neutral,not_at_all,,,,,don_t_know,,,,
kavrepalanchok,Mangaltar,9,40_54,female,tamang,,farmer_laborer,,no_difficulty,,2___very_little,long_term_shelter__housing,,financial_support,,livelihoods,,1___not_at_all,Government_plans_unclear,,Reconstruction_process_taking_too_long,,1___not_at_all,news_about_government_decision,,how_to_replace_personal_documentation,,1___not_at_all,ngo_plans_unclear,,reconstruction_process_taking_too_long,,1___not_at_all,house/shelter_will_not_protect_against_cold,,2_somewhat_yes,safety_at_home(due_to_structure),,improper_school_winterization,,don_t_know,5_not_at_all,,,5_completely_yes,completely_yes,government_grant,,concern_about_another_earthquake_aftershocks,,2___not_very_much,reconstruction_advice_training,,reduce_risk_of_future_disaster,
bhaktapur,Madhyapur,8,25_39,female,newar,,other,Tailor,no_difficulty,,4___mostly_yes,,,,,,,1___not_at_all,Rentens_excluded_from_distribution,,Relief_distributed_based_on_severe_damage,,4___mostly_yes,,,,,4___mostly_yes,,,,,5___completely_yes,,,4_not_very_muc,,,,,1___not_at_all,5_not_at_all,,,2_not_very_much,somewhat_yes,government_grant,,availability_of_labour,,4___somewhat_yes,,,,
bhaktapur,Madhyapur,2,40_54,female,brahmin,,farmer_laborer,,no_difficulty,,4___mostly_yes,,,,,,,4___mostly_yes,,,,,5___completely_yes,,,,,4___mostly_yes,,,,,4___mostly_yes,,,4_not_very_muc,,,,,4___mostly_yes,5_not_at_all,,,3_neutral,completely_yes,assistance_from_family_friends,,waiting_for_building_assessment,,4___somewhat_yes,,,,
dolakha,Sahare,9,15_24,female,chhetri,,government_ser,,no_difficulty,,2___very_little,long_term_shelter__housing,,livelihoods,,seeds_and_fertilizers,,4___mostly_yes,,,,,1___not_at_all,how_to_get_shelter_materials,,how_to_register_for_access_support,,4___mostly_yes,,,,,1___not_at_all,house/shelter_will_not_protect_against_cold,,2_somewhat_yes,safety_at_school(due_to_structure),,improper_school_winterization,,4___mostly_yes,2_somewhat_yes,community_members,,5_completely_yes,completely_yes,government_grant,,gathering_enough_resources_to_rebuild_entire_house_at_once,,1___not_at_all,reduce_risk_of_future_disasters,,repair_reconstruction_of_community_buildings,
