Name_of_enumerator_agency,Agency,Date,Record_Location,_Record_Location_latitude,_Record_Location_longitude,_Record_Location_altitude,_Record_Location_precision,District,VDC_Municipality,Ward_,Age,Gender,Caste_ethnicity,If__other__what_is_your_caste_,Occupation,If__other__what_is_your_occupa,Do_you_have_any_health_problem,Are_your_main_problems_being_a,What_is_your_biggest_problem,If__other__what_is_your_bigges,What_is_your_second_biggest_pr,If__other__what_is_your_second,What_is_your_third_biggest_pro,If__other__what_is_your_third_,Are_your_main_problems_being_a_001,What_is_the_top_thing_that_you,If__other__what_is_the_top_thi,What_is_the_second_most_import,If__other__what_is_the_second_,Are_your_main_problems_being_a_002,What_is_the_top_thing_that_you_001,If__other__what_is_the_top_thi_001,What_is_the_second_most_import_001,If__other__what_is_the_second__001,Are_your_main_problems_being_a_003,What_is_the_top_thing_that_you_002,If__other__what_is_the_top_thi_002,What_is_the_top_thing_that_you_003,If__other__what_is_the_second__002,Are_your_main_problems_being_a_004,What_is_the_top_reason_for_you,If__other__what_is_the_top_rea,What_is_the_top_reason_for_you_001,If_other_what_is_the_top_rea,Are_your_main_problems_being_a_005,Do_you_feel_you_have_been_hear,Are_your_main_problems_being_a_006,Are_your_main_problems_being_a_007,What_is_your_biggest_problem_001,If__other__what_is_the_biggest,What_is_your_biggest_problem_0,If__other__what_is_the_second__003,start,end,meta/instanceID,_uuid,_submission_time,_tags,_notes
Alisha Thapaliya,accountability,7/16/15,n/a,n/a,n/a,n/a,n/a,bhaktapur,Changunarayan,2,40_54,female,newar,n/a,other,homemaker,no_difficulty,1___not_at_all,short_term_shelter__tent_shelt,n/a,psychosocial_counseling,n/a,livelihoods,n/a,1___not_at_all,building_mater,n/a,cash_for_work,n/a,1___not_at_all,how_to_get_shelter_materials,n/a,news_about_government_decision,n/a,1___not_at_all,building_mater,n/a,cash_for_work,n/a,don_t_know,n/a,n/a,n/a,n/a,4___mostly_yes,2___not_very_m,1___not_at_all,1___not_at_all,long_term_shelter__housing,n/a,healthcare,n/a,2015-07-20T11:30:46.000+06:45,2015-07-20T11:39:02.000+06:45,uuid:00850394-9d78-414c-b869-86db717320de,00850394-9d78-414c-b869-86db717320de,2015-07-20T05:56:34,,
Sunanya Bhetwal,accountability,7/16/15,n/a,n/a,n/a,n/a,n/a,bhaktapur,Changunarayan,2,40_54,male,chhetri,n/a,government_service__i_e__teach,n/a,yes__some_diff,1___not_at_all,long_term_shelter__housing,n/a,clean_water,n/a,healthcare,n/a,1___not_at_all,housing_inspec,n/a,cash_for_work,n/a,don_t_know,n/a,n/a,n/a,n/a,1___not_at_all,cash_for_work,n/a,building_mater,n/a,1___not_at_all,based_on_caste,n/a,based_on_polit,n/a,5___completely_yes,1___not_at_all,1___not_at_all,n/a,n/a,n/a,n/a,n/a,2015-07-20T11:39:02.000+06:45,2015-07-20T11:46:20.000+06:45,uuid:d47b468e-f6c4-4f82-8cbb-2303f2faf700,d47b468e-f6c4-4f82-8cbb-2303f2faf700,2015-07-20T06:02:07,,
Alisha Thapaliya,accountability,7/16/15,n/a,n/a,n/a,n/a,n/a,bhaktapur,Changuarayan,2,25_39,female,chhetri,n/a,ngo_worker_business,n/a,no_difficulty,1___not_at_all,long_term_shelter__housing,n/a,clean_water,n/a,psychosocial_counseling,n/a,1___not_at_all,building_mater,n/a,cash_for_work,n/a,4___mostly_yes,n/a,n/a,n/a,n/a,1___not_at_all,building_mater,n/a,cash_for_work,n/a,1___not_at_all,based_on_caste,n/a,based_on_polit,n/a,1___not_at_all,1___not_at_all,1___not_at_all,1___not_at_all,long_term_shelter__housing,n/a,option_18,n/a,2015-07-20T11:46:20.000+06:45,2015-07-20T11:58:54.000+06:45,uuid:91facfff-e74c-4064-8beb-47dded40e0d8,91facfff-e74c-4064-8beb-47dded40e0d8,2015-07-20T06:16:33,,
Sunanya Bhetwal,accountability,7/16/15,n/a,n/a,n/a,n/a,n/a,bhaktapur,Changunarayan,2,40_54,female,brahmin,n/a,other,homemaker,no_difficulty,1___not_at_all,long_term_shelter__housing,n/a,housing_inspections,n/a,healthcare,n/a,1___not_at_all,building_mater,n/a,cash_for_work,n/a,1___not_at_all,news_about_government_decision,n/a,how_to_get_shelter_materials,n/a,don_t_know,n/a,n/a,n/a,n/a,don_t_know,n/a,n/a,n/a,n/a,2___very_little,2___not_very_m,1___not_at_all,1___not_at_all,toilets_sanitation,n/a,option_16,n/a,2015-07-20T11:58:55.000+06:45,2015-07-20T12:05:38.000+06:45,uuid:c714975b-185c-4b82-b0b0-3f0046812b11,c714975b-185c-4b82-b0b0-3f0046812b11,2015-07-20T06:21:23,,
Alisha Thapaliya,accountability,7/16/15,n/a,n/a,n/a,n/a,n/a,bhaktapur,Jagati,6,55,male,newar,n/a,skilled_worker__i_e__carpenter,n/a,no_difficulty,4___mostly_yes,n/a,n/a,n/a,n/a,n/a,n/a,2___very_little,cash_for_work,n/a,housing_inspec,n/a,2___very_little,how_to_get_shelter_materials,n/a,news_about_government_decision,n/a,4___mostly_yes,n/a,n/a,n/a,n/a,don_t_know,n/a,n/a,n/a,n/a,1___not_at_all,1___not_at_all,1___not_at_all,n/a,n/a,n/a,n/a,n/a,2015-07-20T12:05:38.000+06:45,2015-07-20T12:09:24.000+06:45,uuid:20cfcc20-88d8-4f3a-a507-8189fecd099e,20cfcc20-88d8-4f3a-a507-8189fecd099e,2015-07-20T06:25:08,,
Sunanya Bhetwal,accountability,7/16/15,n/a,n/a,n/a,n/a,n/a,bhaktapur,Jagati,4,25_39,male,newar,n/a,farmer_laborer,n/a,no_difficulty,1___not_at_all,long_term_shelter__housing,n/a,clean_water,n/a,seeds_and_fertilizers,n/a,1___not_at_all,building_mater,n/a,cash_for_work,n/a,4___mostly_yes,n/a,n/a,n/a,n/a,1___not_at_all,building_mater,n/a,cash_for_work,n/a,2___very_little,first_come__fi,n/a,only_if_damage,n/a,1___not_at_all,1___not_at_all,1___not_at_all,n/a,n/a,n/a,n/a,n/a,2015-07-20T12:09:24.000+06:45,2015-07-20T12:13:59.000+06:45,uuid:2f7a987d-d922-483f-97f8-53aca9d90749,2f7a987d-d922-483f-97f8-53aca9d90749,2015-07-20T06:29:42,,
Alisha Thapaliya,accountability,7/16/15,n/a,n/a,n/a,n/a,n/a,bhaktapur,Jagati,6,40_54,female,newar,n/a,skilled_worker__i_e__carpenter,n/a,no_difficulty,4___mostly_yes,n/a,n/a,n/a,n/a,n/a,n/a,1___not_at_all,cash_for_work,n/a,building_mater,n/a,1___not_at_all,news_about_government_decision,n/a,how_to_get_shelter_materials,n/a,1___not_at_all,cash_for_work,n/a,building_mater,n/a,4___mostly_yes,n/a,n/a,n/a,n/a,4___mostly_yes,1___not_at_all,1___not_at_all,3___neutral,short_term_shelter__tent_shelt,n/a,financial_support,n/a,2015-07-20T12:13:59.000+06:45,2015-07-20T12:18:52.000+06:45,uuid:a8b68d29-0b6f-40e9-8186-9201aa474e3d,a8b68d29-0b6f-40e9-8186-9201aa474e3d,2015-07-20T06:34:34,,
Alisha Thapaliya,accountability,7/17/15,n/a,n/a,n/a,n/a,n/a,bhaktapur,"Madhyapur Thimi, Bodey",3,55,male,newar,n/a,farmer_laborer,n/a,no_difficulty,1___not_at_all,long_term_shelter__housing,n/a,livelihoods,n/a,financial_support,n/a,1___not_at_all,cash_for_work,n/a,building_mater,n/a,1___not_at_all,news_about_government_decision,n/a,how_to_get_shelter_materials,n/a,1___not_at_all,cash_for_work,n/a,building_mater,n/a,1___not_at_all,only_if_damage,n/a,based_on_polit,n/a,1___not_at_all,1___not_at_all,1___not_at_all,n/a,n/a,n/a,n/a,n/a,2015-07-20T12:18:53.000+06:45,2015-07-20T12:23:58.000+06:45,uuid:e72f98d8-800d-42a4-b237-e32c34a56ac5,e72f98d8-800d-42a4-b237-e32c34a56ac5,2015-07-20T06:39:39,,
Alisha Thapaliya,accountability,7/15/15,n/a,n/a,n/a,n/a,n/a,bhaktapur,"Madhyapur Thimi, Bodey",3,refused,male,newar,n/a,other,Businessman,no_difficulty,1___not_at_all,short_term_shelter__tent_shelt,n/a,financial_support,n/a,psychosocial_counseling,n/a,1___not_at_all,building_mater,n/a,cash_for_work,n/a,1___not_at_all,news_about_government_decision,n/a,how_to_get_shelter_materials,n/a,1___not_at_all,building_mater,n/a,cash_for_work,n/a,don_t_know,n/a,n/a,n/a,n/a,4___mostly_yes,1___not_at_all,1___not_at_all,n/a,n/a,n/a,n/a,n/a,2015-07-20T12:23:58.000+06:45,2015-07-20T12:28:24.000+06:45,uuid:7558183c-595b-4e8f-908c-be281d19eadf,7558183c-595b-4e8f-908c-be281d19eadf,2015-07-20T06:44:05,,
Sunanya Bhetwal,accountability,7/15/15,n/a,n/a,n/a,n/a,n/a,bhaktapur,"Madhyapur Thimi, Bodey",3,40_54,female,newar,n/a,other,homemaker,no_difficulty,1___not_at_all,short_term_shelter__tent_shelt,n/a,financial_support,n/a,psychosocial_counseling,n/a,1___not_at_all,cash_for_work,n/a,building_mater,n/a,1___not_at_all,how_to_get_shelter_materials,n/a,news_about_government_decision,n/a,don_t_know,n/a,n/a,n/a,n/a,don_t_know,n/a,n/a,n/a,n/a,2___very_little,1___not_at_all,1___not_at_all,1___not_at_all,sanitary_products,n/a,healthcare,n/a,2015-07-20T12:28:24.000+06:45,2015-07-20T12:32:01.000+06:45,uuid:3052c8e1-6b1d-4109-bf69-83d17bceee69,3052c8e1-6b1d-4109-bf69-83d17bceee69,2015-07-20T06:47:40,,
