district,Zone,Geographical Region,Disaster,region,village,Date,Source,Data Cards,Deaths,Injured,Missing,Houses Destroyed,Houses Damaged,Victims,Affected,Relocated,Evacuated,Losses USD,Losses Local,Education centers,Hospitals,Damages in crops Ha.,Region
Kathmandu,Bagmati,Hill,FIRE,Central Region,KATHMANDU METROPOLITAN CITY,01/02/91,Gorkhapatra 1982-1-3Y-90N-235,1.0,0,11,0,0,0,0,0,0,0,0,0.0,0,0,0.0,Central
Bajura,Seti,Mountain,LANDSLIDE,Far Western Region,,09/14/83,Gorkhapatra 1983-9-15 Y-83 N-132,1.0,0,0,0,0,0,0,280,0,0,0,0.0,0,0,0.0,Far-Western
Kathmandu,Bagmati,Hill,FIRE,Central Region,THANKOT,01/03/91,Gorkhapatra 1982-1-10Y-90N-242,1.0,0,0,0,1,0,0,0,0,0,0,25000.0,0,0,0.0,Central
Bajura,Seti,Mountain,LANDSLIDE,Far Western Region,,09/14/83,Gorkhapatra 1983-9-15 Y-83 N-132,1.0,17,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,Far-Western
Jumla,Karnali,Mountain,FLOOD,Mid-Western Region,TALIUM,06/22/83,Gorkhapatra 1984-7-7Y-84N-63,1.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,Mid-Western
Doti,Seti,Hill,LANDSLIDE,Far Western Region,GAGUDA,09/14/83,Gorkhapatra 1983-9-15 Y-83 N-132,1.0,8,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,Far-Western
Lalitpur,Bagmati,Hill,RAINS,Central Region,Imadol,06/29/84,Gorkhapatra 1984-7-8Y-84N-64,1.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,Central
Parsa,Narayani,Terai,FIRE,Central Region,Birgunj Municipality,01/11/91,Gorkhapatra 1982-1-13Y-90N-245,1.0,0,0,0,0,1,0,0,0,0,0,350000.0,0,0,0.0,Central
Solukhumbu,Sagarmatha,Mountain,AVALANCHE,Eastern Region,Namche,03/27/84,Gorkhapatra 1984-3-28Y-83N-319,1.0,1,4,0,0,0,0,0,0,0,0,0.0,0,0,0.0,Eastern
Syangja,Gandaki,Hill,LANDSLIDE,Western Region,PUTALIDHET NP,07/10/84,Gorkhapatra 1984-7-14Y-84N-70,1.0,6,1,0,1,0,0,0,0,0,0,0.0,0,0,0.0,Western
Sunsari,Kosi,Terai,FIRE,Eastern Region,Dharan Municiplality,01/14/91,Gorkhapatra 1982-1-16Y-90N-243,1.0,2,0,0,4,0,0,0,0,0,0,0.0,0,0,0.0,Eastern
Saptari,Sagarmatha,Terai,FIRE,Eastern Region,RAJBIRAJ MUNICIPALITY,03/27/84,Gorkhapatra 1984-3-28Y-83N-319,1.0,0,0,0,1,0,0,0,0,0,0,70000.0,0,0,0.0,Eastern
Doti,Seti,Hill,LANDSLIDE,Far Western Region,,09/14/83,Gorkhapatra 1983-9-15 Y-83 N-132,1.0,1,0,0,0,100,0,0,0,0,0,0.0,0,0,0.0,Far-Western
Ilam,Mechi,Hill,FIRE,Eastern Region,MAI   POKHARI,03/27/84,Gorkhapatra 1984-3-28Y-83N-319,1.0,0,0,0,0,1,0,0,0,0,0,15000.0,0,0,0.0,Eastern
Morang,Kosi,Terai,EXPLOSION,Eastern Region,Sanischare,01/24/91,Gorkhapatra 1982-1-25Y-90N-257,1.0,0,2,0,0,0,0,0,0,0,0,0.0,0,0,0.0,Eastern
Ilam,Mechi,Hill,FIRE,Eastern Region,DANABARI,03/27/84,Gorkhapatra 1984-3-28Y-83N-319,1.0,0,0,0,0,1,0,0,0,0,0,9000.0,0,0,0.0,Eastern
Kanchanpur,Mahakali,Terai,FLOOD,Far Western Region,CHANDANI,10/18/83,Gorkhapatra 1983-9-15 Y-83 N-132,1.0,0,0,0,20,0,0,0,0,0,0,150000.0,0,0,135.0,Far-Western
Jhapa,Mechi,Terai,FLOOD,Eastern Region,LAKHANPUR,07/14/84,Gorkhapatra 1984-7-15Y-84N-71,1.0,0,0,0,0,1,0,0,0,0,0,0.0,0,0,0.0,Eastern
Siraha,Sagarmatha,Terai,FIRE,Eastern Region,Arnampur Pra.Pi.,01/14/91,Gorkhapatra 1982-1-27Y-90N-259,1.0,0,0,0,7,0,0,0,0,0,0,136000.0,0,0,0.0,Eastern
Sunsari,Kosi,Terai,FIRE,Eastern Region,Madhuwan,04/01/84,Gorkhapatra 1984-4-2Y-83N-324,1.0,0,0,0,0,0,0,0,0,0,0,22000.0,0,0,0.0,Eastern
Sunsari,Kosi,Terai,FLOOD,Eastern Region,Barahachhatra,09/13/83,Gorkhapatra 1983-9-21 Y-83 N-138,1.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,Eastern
Saptari,Sagarmatha,Terai,FLOOD,Eastern Region,RAJBIRAJ MUNICIPALITY,07/15/84,Gorkhapatra 1984-7-16Y-84N-73,1.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,Eastern
Solukhumbu,Sagarmatha,Mountain,FIRE,Eastern Region,,01/24/91,Gorkhapatra 1982-1-27Y-90N-259,1.0,0,0,0,1,0,0,0,0,0,0,600000.0,0,0,0.0,Eastern
Sunsari,Kosi,Terai,FIRE,Eastern Region,Panchakanya,04/01/84,Gorkhapatra 1984-4-2Y-83N-324,1.0,0,0,0,2,1,0,0,0,0,0,31000.0,0,0,0.0,Eastern
Jhapa,Mechi,Terai,FIRE,Eastern Region,SATASIDHAM,07/20/84,Gorkhapatra 1984-7-21Y-84N-77,1.0,0,0,0,1,0,0,0,0,0,0,18000.0,0,0,0.0,Eastern
Sankhuwasabha,Kosi,Mountain,SNOW STORM,Eastern Region,Nundhaki,01/19/91,Gorkhapatra 1982-1-30Y-90N-262,1.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,Eastern
Sankhuwasabha,Kosi,Mountain,FLOOD,Eastern Region,Kharang,09/04/83,Gorkhapatra 1983-9-21 Y-83 N-138,1.0,0,0,1,0,0,0,0,0,0,0,0.0,0,0,0.0,Eastern
Morang,Kosi,Terai,THUNDERSTORM,Eastern Region,Urlabari,07/21/84,Gorkhapatra 1984-7-23Y-84N-79,1.0,1,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,Eastern
Bara,Narayani,Terai,FIRE,Central Region,BHARATGANJ,04/02/84,Gorkhapatra 1984-4-3Y-83N325,1.0,1,0,0,2,0,0,0,0,0,0,0.0,0,0,0.0,Central
