District,Zone,Geographical Region,Development Region,Causalities,In Number
Sindhupalchok,Bagmati,Mountain,Central,Total No. of Houses,66688
Sindhupalchok,Bagmati,Mountain,Central,Total Population,287798
Sindhupalchok,Bagmati,Mountain,Central,Dead Male,1497
Sindhupalchok,Bagmati,Mountain,Central,Dead Female,1943
Sindhupalchok,Bagmati,Mountain,Central,Dead Unknown,0
Sindhupalchok,Bagmati,Mountain,Central,Injured,1571
Sindhupalchok,Bagmati,Mountain,Central,Govt. Houses Fully Destroyed,0
Sindhupalchok,Bagmati,Mountain,Central,Govt. Houses Partially Destroyed,0
Sindhupalchok,Bagmati,Mountain,Central,Public House Fully Destroyed,63885
Sindhupalchok,Bagmati,Mountain,Central,Public House Partially Destroyed,2751
Kathmandu,Bagmati,Hill,Central,Total No. of Houses,436344
Kathmandu,Bagmati,Hill,Central,Total Population,1744240
Kathmandu,Bagmati,Hill,Central,Dead Male,621
Kathmandu,Bagmati,Hill,Central,Dead Female,600
Kathmandu,Bagmati,Hill,Central,Dead Unknown,1
Kathmandu,Bagmati,Hill,Central,Injured,7859
Kathmandu,Bagmati,Hill,Central,Govt. Houses Fully Destroyed,85
Kathmandu,Bagmati,Hill,Central,Govt. Houses Partially Destroyed,277
Kathmandu,Bagmati,Hill,Central,Public House Fully Destroyed,36973
Kathmandu,Bagmati,Hill,Central,Public House Partially Destroyed,50753
Nuwakot,Bagmati,Hill,Central,Total No. of Houses,59215
Nuwakot,Bagmati,Hill,Central,Total Population,277471
Nuwakot,Bagmati,Hill,Central,Dead Male,456
Nuwakot,Bagmati,Hill,Central,Dead Female,625
Nuwakot,Bagmati,Hill,Central,Dead Unknown,0
Nuwakot,Bagmati,Hill,Central,Injured,1052
Nuwakot,Bagmati,Hill,Central,Govt. Houses Fully Destroyed,14
Nuwakot,Bagmati,Hill,Central,Govt. Houses Partially Destroyed,15
Nuwakot,Bagmati,Hill,Central,Public House Fully Destroyed,57943
Nuwakot,Bagmati,Hill,Central,Public House Partially Destroyed,4200
Dhading,Bagmati,Hill,Central,Total No. of Houses,73851
Dhading,Bagmati,Hill,Central,Total Population,336067
Dhading,Bagmati,Hill,Central,Dead Male,340
Dhading,Bagmati,Hill,Central,Dead Female,393
Dhading,Bagmati,Hill,Central,Dead Unknown,0
Dhading,Bagmati,Hill,Central,Injured,1218
Dhading,Bagmati,Hill,Central,Govt. Houses Fully Destroyed,93
Dhading,Bagmati,Hill,Central,Govt. Houses Partially Destroyed,58
Dhading,Bagmati,Hill,Central,Public House Fully Destroyed,43741
Dhading,Bagmati,Hill,Central,Public House Partially Destroyed,18720
Rasuwa,Bagmati,Mountain,Central,Total No. of Houses,9778
Rasuwa,Bagmati,Mountain,Central,Total Population,43300
Rasuwa,Bagmati,Mountain,Central,Dead Male,287
Rasuwa,Bagmati,Mountain,Central,Dead Female,310
Rasuwa,Bagmati,Mountain,Central,Dead Unknown,0
Rasuwa,Bagmati,Mountain,Central,Injured,771
Rasuwa,Bagmati,Mountain,Central,Govt. Houses Fully Destroyed,0
Rasuwa,Bagmati,Mountain,Central,Govt. Houses Partially Destroyed,0
Rasuwa,Bagmati,Mountain,Central,Public House Fully Destroyed,7040
Rasuwa,Bagmati,Mountain,Central,Public House Partially Destroyed,2410
Gorkha,Gandaki,Hill,Western,Total No. of Houses,66506
Gorkha,Gandaki,Hill,Western,Total Population,271061
Gorkha,Gandaki,Hill,Western,Dead Male,213
Gorkha,Gandaki,Hill,Western,Dead Female,230
Gorkha,Gandaki,Hill,Western,Dead Unknown,0
Gorkha,Gandaki,Hill,Western,Injured,952
Gorkha,Gandaki,Hill,Western,Govt. Houses Fully Destroyed,228
Gorkha,Gandaki,Hill,Western,Govt. Houses Partially Destroyed,37
Gorkha,Gandaki,Hill,Western,Public House Fully Destroyed,44382
Gorkha,Gandaki,Hill,Western,Public House Partially Destroyed,13880
Bhaktapur,Bagmati,Hill,Central,Total No. of Houses,68636
Bhaktapur,Bagmati,Hill,Central,Total Population,304651
Bhaktapur,Bagmati,Hill,Central,Dead Male,118
Bhaktapur,Bagmati,Hill,Central,Dead Female,215
Bhaktapur,Bagmati,Hill,Central,Dead Unknown,0
Bhaktapur,Bagmati,Hill,Central,Injured,2101
Bhaktapur,Bagmati,Hill,Central,Govt. Houses Fully Destroyed,0
Bhaktapur,Bagmati,Hill,Central,Govt. Houses Partially Destroyed,0
Bhaktapur,Bagmati,Hill,Central,Public House Fully Destroyed,18900
Bhaktapur,Bagmati,Hill,Central,Public House Partially Destroyed,9090
Kavre,Bagmati,Hill,Central,Total No. of Houses,80720
Kavre,Bagmati,Hill,Central,Total Population,381937
Kavre,Bagmati,Hill,Central,Dead Male,129
Kavre,Bagmati,Hill,Central,Dead Female,189
Kavre,Bagmati,Hill,Central,Dead Unknown,0
Kavre,Bagmati,Hill,Central,Injured,1179
Kavre,Bagmati,Hill,Central,Govt. Houses Fully Destroyed,0
Kavre,Bagmati,Hill,Central,Govt. Houses Partially Destroyed,0
Kavre,Bagmati,Hill,Central,Public House Fully Destroyed,49933
Kavre,Bagmati,Hill,Central,Public House Partially Destroyed,23714
Lalitpur,Bagmati,Hill,Central,Total No. of Houses,109797
Lalitpur,Bagmati,Hill,Central,Total Population,468132
Lalitpur,Bagmati,Hill,Central,Dead Male,67
