Epicentre,Zone,Geographical Region,Development Region,Date,Category,Value
Achham,Seti,Hill,Far-Western,1/23/2009,Latitude,29.05
Achham,Seti,Hill,Far-Western,1/23/2009,Longitude,81.4
Achham,Seti,Hill,Far-Western,1/23/2009,Magnitude (ml),4.2
Around Kanchanjunga,,,,10/22/2012,Latitude,27.95
Around Kanchanjunga,,,,10/22/2012,Longitude,87.86
Around Kanchanjunga,,,,10/22/2012,Magnitude (ml),4.5
Baglung,Dhawalagiri,Hill,Western,2/22/2013,Latitude,28.39
Baglung,Dhawalagiri,Hill,Western,2/22/2013,Longitude,83.18
Baglung,Dhawalagiri,Hill,Western,2/22/2013,Magnitude (ml),4.1
Baglung,Dhawalagiri,Hill,Western,5/20/2008,Latitude,28.33
Baglung,Dhawalagiri,Hill,Western,9/10/2008,Latitude,28.4
Baglung,Dhawalagiri,Hill,Western,2/28/2010,Latitude,28.4
Baglung,Dhawalagiri,Hill,Western,4/14/2010,Latitude,28.31
Baglung,Dhawalagiri,Hill,Western,11/25/2010,Latitude,28.44
Baglung,Dhawalagiri,Hill,Western,5/20/2008,Longitude,83.33
Baglung,Dhawalagiri,Hill,Western,9/10/2008,Longitude,83.01
Baglung,Dhawalagiri,Hill,Western,2/28/2010,Longitude,81.52
Baglung,Dhawalagiri,Hill,Western,4/14/2010,Longitude,83.09
Baglung,Dhawalagiri,Hill,Western,11/25/2010,Longitude,83.17
Baglung,Dhawalagiri,Hill,Western,5/20/2008,Magnitude (ml),4.3
Baglung,Dhawalagiri,Hill,Western,9/10/2008,Magnitude (ml),4.1
Baglung,Dhawalagiri,Hill,Western,2/28/2010,Magnitude (ml),4.1
Baglung,Dhawalagiri,Hill,Western,4/14/2010,Magnitude (ml),4.2
Baglung,Dhawalagiri,Hill,Western,11/25/2010,Magnitude (ml),4.7
Bajhang,Seti,Mountain,Far-Western,4/11/2012,Latitude,29.55
Bajhang,Seti,Mountain,Far-Western,11/12/2012,Latitude,29.55
Bajhang,Seti,Mountain,Far-Western,1/18/2013,Latitude,29.48
Bajhang,Seti,Mountain,Far-Western,2/7/2013,Latitude,29.42
Bajhang,Seti,Mountain,Far-Western,4/11/2012,Longitude,81.24
Bajhang,Seti,Mountain,Far-Western,11/12/2012,Longitude,81.31
Bajhang,Seti,Mountain,Far-Western,1/18/2013,Longitude,81.26
Bajhang,Seti,Mountain,Far-Western,2/7/2013,Longitude,81.05
Bajhang,Seti,Mountain,Far-Western,4/11/2012,Magnitude (ml),4.3
Bajhang,Seti,Mountain,Far-Western,11/12/2012,Magnitude (ml),4.5
Bajhang,Seti,Mountain,Far-Western,1/18/2013,Magnitude (ml),4.5
Bajhang,Seti,Mountain,Far-Western,2/7/2013,Magnitude (ml),4.0
Bajhang,Seti,Mountain,Far-Western,2/25/2010,Latitude,29.78
Bajhang,Seti,Mountain,Far-Western,8/9/2011,Latitude,29.9
Bajhang,Seti,Mountain,Far-Western,8/19/2011,Latitude,29.7
Bajhang,Seti,Mountain,Far-Western,2/25/2010,Longitude,81.52
Bajhang,Seti,Mountain,Far-Western,8/9/2011,Longitude,81.31
Bajhang,Seti,Mountain,Far-Western,8/19/2011,Longitude,81.34
Bajhang,Seti,Mountain,Far-Western,2/25/2010,Magnitude (ml),4.6
Bajhang,Seti,Mountain,Far-Western,8/9/2011,Magnitude (ml),4.3
Bajhang,Seti,Mountain,Far-Western,8/19/2011,Magnitude (ml),4.9
Bajhang and Doti border,,,,1/2/2013,Latitude,29.41
Bajhang and Doti border,,,,1/2/2013,Longitude,81.0
Bajhang and Doti border,,,,1/2/2013,Magnitude (ml),4.7
Bajhang-Bajura border  ,,,,3/17/2008,Latitude,29.76
Bajhang-Bajura border  ,,,,3/17/2008,Longitude,81.53
Bajhang-Bajura border  ,,,,3/17/2008,Magnitude (ml),4.6
Bajhang-Darchula Boarder  ,,,,2/26/2012,Latitude,29.86
Bajhang-Darchula Boarder  ,,,,2/26/2012,Latitude,29.71
Bajhang-Darchula Boarder  ,,,,2/26/2012,Longitude,81.05
Bajhang-Darchula Boarder  ,,,,2/26/2012,Longitude,81.02
Bajhang-Darchula Boarder  ,,,,2/26/2012,Magnitude (ml),4.9
Bajhang-Darchula Boarder  ,,,,2/26/2012,Magnitude (ml),4.4
Bajura,Seti,Mountain,Far-Western,8/2/2008,Latitude,28.18
Bajura,Seti,Mountain,Far-Western,12/16/2009,Latitude,29.6
Bajura,Seti,Mountain,Far-Western,3/1/2010,Latitude,29.76
Bajura,Seti,Mountain,Far-Western,4/13/2010,Latitude,29.37
Bajura,Seti,Mountain,Far-Western,6/13/2010,Latitude,29.4
Bajura,Seti,Mountain,Far-Western,6/13/2010,Latitude,29.6
Bajura,Seti,Mountain,Far-Western,12/5/2010,Latitude,29.57
Bajura,Seti,Mountain,Far-Western,10/2/2011,Latitude,29.55
Bajura,Seti,Mountain,Far-Western,12/30/2011,Latitude,29.62
Bajura,Seti,Mountain,Far-Western,11/3/2013,Latitude,29.6
Bajura,Seti,Mountain,Far-Western,8/2/2008,Longitude,85.29
Bajura,Seti,Mountain,Far-Western,12/16/2009,Longitude,81.51
Bajura,Seti,Mountain,Far-Western,3/1/2010,Longitude,83.11
Bajura,Seti,Mountain,Far-Western,4/13/2010,Longitude,81.34
Bajura,Seti,Mountain,Far-Western,6/13/2010,Longitude,81.38
Bajura,Seti,Mountain,Far-Western,6/13/2010,Longitude,81.65
Bajura,Seti,Mountain,Far-Western,12/5/2010,Longitude,81.699
Bajura,Seti,Mountain,Far-Western,10/2/2011,Longitude,81.68
Bajura,Seti,Mountain,Far-Western,12/30/2011,Longitude,81.53
Bajura,Seti,Mountain,Far-Western,11/3/2013,Longitude,81.68
Bajura,Seti,Mountain,Far-Western,8/2/2008,Magnitude (ml),4.4
Bajura,Seti,Mountain,Far-Western,12/16/2009,Magnitude (ml),4.6
Bajura,Seti,Mountain,Far-Western,3/1/2010,Magnitude (ml),4.3
Bajura,Seti,Mountain,Far-Western,4/13/2010,Magnitude (ml),4.5
Bajura,Seti,Mountain,Far-Western,6/13/2010,Magnitude (ml),4.5
Bajura,Seti,Mountain,Far-Western,6/13/2010,Magnitude (ml),4.8
Bajura,Seti,Mountain,Far-Western,12/5/2010,Magnitude (ml),4.2
Bajura,Seti,Mountain,Far-Western,10/2/2011,Magnitude (ml),4.2
Bajura,Seti,Mountain,Far-Western,12/30/2011,Magnitude (ml),4.0
Bajura,Seti,Mountain,Far-Western,11/3/2013,Magnitude (ml),4.3
Bhojpur-Sankhuwasabha border  ,,,,2/13/2011,Latitude,27.47
Bhojpur-Sankhuwasabha border  ,,,,2/13/2011,Longitude,87.01
Bhojpur-Sankhuwasabha border  ,,,,2/13/2011,Magnitude (ml),4.7
Dailekh,Bheri,Hill,Mid-Western,11/23/2011,Latitude,28.91
Dailekh,Bheri,Hill,Mid-Western,1/11/2012,Latitude,28.89
Dailekh,Bheri,Hill,Mid-Western,6/15/2012,Latitude,28.99
Dailekh,Bheri,Hill,Mid-Western,11/23/2011,Longitude,81.68
Dailekh,Bheri,Hill,Mid-Western,1/11/2012,Longitude,81.89
Dailekh,Bheri,Hill,Mid-Western,6/15/2012,Longitude,81.58
Dailekh,Bheri,Hill,Mid-Western,11/23/2011,Magnitude (ml),4.2
Dailekh,Bheri,Hill,Mid-Western,1/11/2012,Magnitude (ml),4.2
Dailekh,Bheri,Hill,Mid-Western,6/15/2012,Magnitude (ml),4.2
Darchaula,Mahakali,Mountain,Far-Western,6/15/2008,Latitude,29.73
Darchaula,Mahakali,Mountain,Far-Western,4/4/2011,Latitude,30.0
Darchaula,Mahakali,Mountain,Far-Western,4/4/2011,Latitude,29.92
Darchaula,Mahakali,Mountain,Far-Western,4/5/2011,Latitude,29.74
Darchaula,Mahakali,Mountain,Far-Western,6/27/2013,Latitude,30.05
Darchaula,Mahakali,Mountain,Far-Western,6/15/2008,Longitude,80.96
Darchaula,Mahakali,Mountain,Far-Western,4/4/2011,Longitude,80.81
Darchaula,Mahakali,Mountain,Far-Western,4/4/2011,Longitude,80.54
Darchaula,Mahakali,Mountain,Far-Western,4/5/2011,Longitude,80.37
Darchaula,Mahakali,Mountain,Far-Western,6/27/2013,Longitude,80.8
Darchaula,Mahakali,Mountain,Far-Western,6/15/2008,Magnitude (ml),5.0
Darchaula,Mahakali,Mountain,Far-Western,4/4/2011,Magnitude (ml),4.1
Darchaula,Mahakali,Mountain,Far-Western,4/4/2011,Magnitude (ml),5.7
Darchaula,Mahakali,Mountain,Far-Western,4/5/2011,Magnitude (ml),4.1
Darchaula,Mahakali,Mountain,Far-Western,6/27/2013,Magnitude (ml),4.4
Dhankuta,Kosi,Hill,Eastern,9/12/2013,Latitude,26.96
Dhankuta,Kosi,Hill,Eastern,9/12/2013,Longitude,87.34
Dhankuta,Kosi,Hill,Eastern,9/12/2013,Magnitude (ml),4.5
Dhanusa,Janakpur,Terai,Central,2/17/2010,Latitude,26.79
Dhanusa,Janakpur,Terai,Central,3/17/2013,Latitude,26.74
Dhanusa,Janakpur,Terai,Central,6/26/2013,Latitude,26.85
Dhanusa,Janakpur,Terai,Central,2/17/2010,Longitude,86.08
Dhanusa,Janakpur,Terai,Central,3/17/2013,Longitude,86.08
Dhanusa,Janakpur,Terai,Central,6/26/2013,Longitude,85.96
Dhanusa,Janakpur,Terai,Central,2/17/2010,Magnitude (ml),4.1
Dhanusa,Janakpur,Terai,Central,3/17/2013,Magnitude (ml),4.2
Dhanusa,Janakpur,Terai,Central,6/26/2013,Magnitude (ml),4.4
Dolakha,Janakpur,Mountain,Central,7/12/2009,Latitude,27.71
Dolakha,Janakpur,Mountain,Central,4/30/2010,Latitude,27.75
Dolakha,Janakpur,Mountain,Central,11/19/2011,Latitude,27.7
Dolakha,Janakpur,Mountain,Central,7/12/2009,Longitude,86.36
Dolakha,Janakpur,Mountain,Central,4/30/2010,Longitude,86.36
Dolakha,Janakpur,Mountain,Central,11/19/2011,Longitude,86.1
Dolakha,Janakpur,Mountain,Central,7/12/2009,Magnitude (ml),4.3
Dolakha,Janakpur,Mountain,Central,4/30/2010,Magnitude (ml),4.0
Dolakha,Janakpur,Mountain,Central,11/19/2011,Magnitude (ml),4.1
Gorkha,Gandaki,Hill,Western,12/18/2010,Latitude,28.18
Gorkha,Gandaki,Hill,Western,11/13/2011,Latitude,28.2
Gorkha,Gandaki,Hill,Western,12/18/2010,Longitude,84.79
Gorkha,Gandaki,Hill,Western,11/13/2011,Longitude,84.93
Gorkha,Gandaki,Hill,Western,12/18/2010,Magnitude (ml),4.1
Gorkha,Gandaki,Hill,Western,11/13/2011,Magnitude (ml),5.0
Humla,Karnali,Mountain,Mid-Western,10/13/2013,Latitude,30.08
Humla,Karnali,Mountain,Mid-Western,10/13/2013,Longitude,81.74
Humla,Karnali,Mountain,Mid-Western,10/13/2013,Magnitude (ml),4.5
Humla,Karnali,Mountain,Mid-Western,3/2/2008,Latitude,29.69
Humla,Karnali,Mountain,Mid-Western,12/8/2008,Latitude,30.15
