Cluster,Program,2016,2017,2018,2019,2020,Total,On-budget Sources,Off-budget Sources,Unknown
Cultural heritage,"Preparation of legal documents (Policy, guidelines and procedure)",2,,,,,2,,1,1
Cultural heritage,"Urgent task for all the heritage site (Protection-covering, stabalization, shoring, propping, emergency consolidation etc) - preparation for monsoon",32,,,,,32,10,2,20
Cultural heritage,Protection and shoring in Hanumandhokha Durbar square,30,,,,,30,,,30
Cultural heritage,Protection and shoring in Nuwakot Durbar,10,,,,,10,,,10
Cultural heritage,Detail existing architectural and structural  drawings of all threatened/vulnerable monuments,75,,,,,75,4,,71
Cultural heritage,Sorting and inventory of salvaged  material in all heritage site,178,,,,,178,0,28,150
Cultural heritage,Establishment of the Rehabilitation Co-ordination Framework for 7 sites,4,,,,,4,,,4
Cultural heritage,Artisan mapping project,2,,,,,2,,,2
Cultural heritage,Material mapping project,2,,,,,2,,,2
Cultural heritage,Orientation for the architects and engineers of DOA regarding the restoration and rebuilding  of heritage,1,,,,,1,,,1
Cultural heritage,"Institutional Logistic development (computer, equipment, vehicles etc) of DoA",5,,,,,5,1,3,1
Cultural heritage,"Institutional Human resource  development (temporary appointments of professional staff engineer, archaeological officers )",17,,,,,17,16,,1
Cultural heritage,Capacity building workshops,3,,,,,3,,,3
Cultural heritage,Co-ordinating and information unit establishment within DOA,4,2,2,2,2,11,,,11
Cultural heritage,Allowance for the members of the expert committee,1,1,1,1,1,3,1,,1
Cultural heritage,Technical support for historic private houses,1,1,1,1,1,3,,,3
Cultural heritage,"SUBTOTAL Immediate response (urgent task for protection before the monsoon, preparation for long-term implementation and institutional development and capacity building)",364,3,3,3,3,376,31,33,310
Cultural heritage,Detail existing architectural and structural  drawings of all remaining affected  monuments,30,,,,,30,,,30
Cultural heritage,Structural investigation of prototype monuments,30,,,,,30,3,7,20
Cultural heritage,Material investigation,10,,,,,10,2,1,7
Cultural heritage,Archaeological investigation through external consultants,30,,,,,30,,5,25
Cultural heritage,"Geological investigation for Swayambhu, Changu, Nuwakot and Gorkha through external consultants",10,,,,,10,,3,7
