Year AD,Year BS,Categories,Value
1983,2040,Flood & Landslides,293
1983,2040,Earthquake,0
1983,2040,"Windstorms, Hailstorm & Thunderbolt",NA 
1983,2040,Avalanche,0
1983,2040,Fire,69
1983,2040,Epidemic,217
1983,2040,Stampede,0
1983,2040,Total,579
1984,2041,Flood & Landslides,363
1984,2041,Earthquake,0
1984,2041,"Windstorms, Hailstorm & Thunderbolt",NA 
1984,2041,Avalanche,0
1984,2041,Fire,57
1984,2041,Epidemic,521
1984,2041,Stampede,0
1984,2041,Total,941
1985,2042,Flood & Landslides,420
1985,2042,Earthquake,0
1985,2042,"Windstorms, Hailstorm & Thunderbolt",NA 
1985,2042,Avalanche,0
1985,2042,Fire,52
1985,2042,Epidemic,915
1985,2042,Stampede,0
1985,2042,Total,1387
1986,2043,Flood & Landslides,315
1986,2043,Earthquake,0
1986,2043,"Windstorms, Hailstorm & Thunderbolt",NA 
1986,2043,Avalanche,0
1986,2043,Fire,96
1986,2043,Epidemic,1101
1986,2043,Stampede,0
1986,2043,Total,1512
1987,2044,Flood & Landslides,391
1987,2044,Earthquake,0
1987,2044,"Windstorms, Hailstorm & Thunderbolt",2
1987,2044,Avalanche,0
1987,2044,Fire,62
1987,2044,Epidemic,426
1987,2044,Stampede,0
1987,2044,Total,881
1988,2045,Flood & Landslides,328
1988,2045,Earthquake,721
1988,2045,"Windstorms, Hailstorm & Thunderbolt",NA 
1988,2045,Avalanche,14
1988,2045,Fire,23
1988,2045,Epidemic,427
1988,2045,Stampede,71
1988,2045,Total,1584
1989,2046,Flood & Landslides,680
1989,2046,Earthquake,0
1989,2046,"Windstorms, Hailstorm & Thunderbolt",28
1989,2046,Avalanche,20
1989,2046,Fire,109
1989,2046,Epidemic,879
1989,2046,Stampede,0
1989,2046,Total,1716
1990,2047,Flood & Landslides,307
1990,2047,Earthquake,0
1990,2047,"Windstorms, Hailstorm & Thunderbolt",57
1990,2047,Avalanche,0
1990,2047,Fire,46
1990,2047,Epidemic,503
1990,2047,Stampede,0
1990,2047,Total,913
1991,2048,Flood & Landslides,93
1991,2048,Earthquake,0
1991,2048,"Windstorms, Hailstorm & Thunderbolt",63
1991,2048,Avalanche,0
1991,2048,Fire,90
1991,2048,Epidemic,725
1991,2048,Stampede,0
1991,2048,Total,971
1992,2049,Flood & Landslides,71
1992,2049,Earthquake,2
1992,2049,"Windstorms, Hailstorm & Thunderbolt",20
1992,2049,Avalanche,0
1992,2049,Fire,97
1992,2049,Epidemic,128
1992,2049,Stampede,0
1992,2049,Total,318
1993,2050,Flood & Landslides,1336
1993,2050,Earthquake,0
1993,2050,"Windstorms, Hailstorm & Thunderbolt",45
1993,2050,Avalanche,0
1993,2050,Fire,43
1993,2050,Epidemic,100
1993,2050,Stampede,0
1993,2050,Total,1524
1994,2051,Flood & Landslides,49
1994,2051,Earthquake,0
1994,2051,"Windstorms, Hailstorm & Thunderbolt",47
1994,2051,Avalanche,0
1994,2051,Fire,43
1994,2051,Epidemic,626
1994,2051,Stampede,0
1994,2051,Total,765
1995,2052,Flood & Landslides,203
1995,2052,Earthquake,0
1995,2052,"Windstorms, Hailstorm & Thunderbolt",34
1995,2052,Avalanche,43
1995,2052,Fire,73
1995,2052,Epidemic,520
1995,2052,Stampede,0
1995,2052,Total,873
1996,2053,Flood & Landslides,258
1996,2053,Earthquake,3
1996,2053,"Windstorms, Hailstorm & Thunderbolt",75
1996,2053,Avalanche,4
1996,2053,Fire,61
1996,2053,Epidemic,494
1996,2053,Stampede,0
1996,2053,Total,895
1997,2054,Flood & Landslides,83
1997,2054,Earthquake,0
1997,2054,"Windstorms, Hailstorm & Thunderbolt",49
1997,2054,Avalanche,12
1997,2054,Fire,65
1997,2054,Epidemic,951
1997,2054,Stampede,0
1997,2054,Total,1160
1998,2055,Flood & Landslides,273
1998,2055,Earthquake,0
1998,2055,"Windstorms, Hailstorm & Thunderbolt",23
1998,2055,Avalanche,0
1998,2055,Fire,54
1998,2055,Epidemic,840
1998,2055,Stampede,0
1998,2055,Total,1190
1999,2056,Flood & Landslides,193
1999,2056,Earthquake,0
1999,2056,"Windstorms, Hailstorm & Thunderbolt",22
1999,2056,Avalanche,5
1999,2056,Fire,39
1999,2056,Epidemic,1207
1999,2056,Stampede,0
1999,2056,Total,1466
2000,2057,Flood & Landslides,173
2000,2057,Earthquake,0
2000,2057,"Windstorms, Hailstorm & Thunderbolt",26
2000,2057,Avalanche,0
2000,2057,Fire,37
2000,2057,Epidemic,141
2000,2057,Stampede,0
2000,2057,Total,377
2001,2058,Flood & Landslides,196
2001,2058,Earthquake,1
2001,2058,"Windstorms, Hailstorm & Thunderbolt",38
2001,2058,Avalanche,0
2001,2058,Fire,26
2001,2058,Epidemic,154
2001,2058,Stampede,0
2001,2058,Total,415
2002,2059,Flood & Landslides,441
2002,2059,Earthquake,0
2002,2059,"Windstorms, Hailstorm & Thunderbolt",6
2002,2059,Avalanche,0
2002,2059,Fire,11
2002,2059,Epidemic,0
2002,2059,Stampede,0
2002,2059,Total,458
2003,2060,Flood & Landslides,232
2003,2060,Earthquake,0
2003,2060,"Windstorms, Hailstorm & Thunderbolt",62
2003,2060,Avalanche,0
2003,2060,Fire,16
2003,2060,Epidemic,0
2003,2060,Stampede,0
2003,2060,Total,310
2004,2061,Flood & Landslides,131
2004,2061,Earthquake,0
2004,2061,"Windstorms, Hailstorm & Thunderbolt",10
2004,2061,Avalanche,0
2004,2061,Fire,10
2004,2061,Epidemic,41
2004,2061,Stampede,0
2004,2061,Total,192
2005,2062,Flood & Landslides,141
2005,2062,Earthquake,0
2005,2062,"Windstorms, Hailstorm & Thunderbolt",18
2005,2062,Avalanche,21
2005,2062,Fire,28
2005,2062,Epidemic,34
2005,2062,Stampede,0
2005,2062,Total,242
2006,2063,Flood & Landslides,114
2006,2063,Earthquake,0
2006,2063,"Windstorms, Hailstorm & Thunderbolt",15
2006,2063,Avalanche,0
2006,2063,Fire,3
2006,2063,Epidemic,0
2006,2063,Stampede,NA 
2006,2063,Total,132
2007,2064,Flood & Landslides,216
2007,2064,Earthquake,0
2007,2064,"Windstorms, Hailstorm & Thunderbolt",40
2007,2064,Avalanche,6
2007,2064,Fire,9
2007,2064,Epidemic,3
2007,2064,Stampede,NA 
2007,2064,Total,274
2008,2065,Flood & Landslides,134
2008,2065,Earthquake,0
2008,2065,"Windstorms, Hailstorm & Thunderbolt",16
2008,2065,Avalanche,0
2008,2065,Fire,11
2008,2065,Epidemic,10
2008,2065,Stampede,0
2008,2065,Total,171
2009,2066,Flood & Landslides,135
2009,2066,Earthquake,0
2009,2066,"Windstorms, Hailstorm & Thunderbolt",7
2009,2066,Avalanche,2
2009,2066,Fire,35
2009,2066,Epidemic,462
2009,2066,Stampede,0
2009,2066,Total,641
2010,2067,Flood & Landslides,240
2010,2067,Earthquake,0
