Date AD,Date BS,Local Time,Latitude,Longitude,Magnitude(ML),Epicentre,zone,belt,region,Zone,Belt,Region
2015/10/31,2072-07-14,09:28,28.03,85.23,4.3,Rasuwa,Bagmati,Mountain,Central,Bagmati,Mountain,Central
2015/10/17,2072-06-30,23:46,27.8,86.3,4.2,Dolakha,Janakpur,Mountain,Central,Janakpur,Mountain,Central
2015/10/16,2072-06-29,14:28,27.71,86.16,4.2,Dolakha,Janakpur,Mountain,Central,Janakpur,Mountain,Central
2015/10/08,2072-06-21,21:58,27.96,85.54,4.1,Sindhupalchok,Bagmati,Mountain,Central,Bagmati,Mountain,Central
2015/10/08,2072-06-21,13:00,27.57,85.31,4.0,Lalitpur,Bagmati,Hill,Central,Bagmati,Hill,Central
2015/10/07,2072-06-20,05:15,27.68,86.08,4.2,Dolakha,Janakpur,Mountain,Central,Janakpur,Mountain,Central
2015/10/06,2072-06-19,17:47,27.69,86.09,4.2,Dolakha,Janakpur,Mountain,Central,Janakpur,Mountain,Central
2015/10/05,2072-06-18,13:21,27.71,86.1,4.2,Dolakha,Janakpur,Mountain,Central,Janakpur,Mountain,Central
2015/10/05,2072-06-18,13:18,27.71,86.15,4.8,Dolakha,Janakpur,Mountain,Central,Janakpur,Mountain,Central
2015/09/29,2072-06-12,16:39,27.77,85.87,4.6,Sindhupalchok,Bagmati,Mountain,Central,Bagmati,Mountain,Central
2015/09/22,2072-06-05,12:17,27.74,85.07,4.5,Dhading,Bagmati,Hill,Central,Bagmati,Hill,Central
2015/09/20,2072-06-03,04:05,27.76,86.37,4.0,Dolakha,Janakpur,Mountain,Central,Janakpur,Mountain,Central
2015/09/16,2072-05-30,20:37,27.6,86.19,4.2,Dolakha,Janakpur,Mountain,Central,Janakpur,Mountain,Central
2015/09/09,2072-05-23,18:23,27.82,86.24,4.0,Dolakha,Janakpur,Mountain,Central,Janakpur,Mountain,Central
2015/09/03,2072-05-17,5:10,27.75,86.01,4.3,Sindhupalchok,Bagmati,Mountain,Central,Bagmati,Mountain,Central
2015/09/02,2072-05-16,04:51,27.64,86.19,4.4,Dolakha,Janakpur,Mountain,Central,Janakpur,Mountain,Central
2015/08/31,2072-05-14,23:33,27.92,85.69,4.2,Sindhupalchok,Bagmati,Mountain,Central,Bagmati,Mountain,Central
2015/08/30,2072-05-13,19:02,27.72,85.75,5.0,Sindhupalchok,Bagmati,Mountain,Central,Bagmati,Mountain,Central
2015/08/30,2072-05-13,08:26,27.66,86.23,4.1,Dolakha,Janakpur,Mountain,Central,Janakpur,Mountain,Central
2015/08/30,2072-05-13,03:09,27.92,84.94,4.3,Dhading,Bagmati,Hill,Central,Bagmati,Hill,Central
2015/08/27,2072-05-10,06:07,28.12,84.89,4.1,Gorkha,Gandaki,Hill,Western,Gandaki,Hill,Western
2015/08/27,2072-05-10,00:51,27.85,85.74,4.2,Sindhupalchok,Bagmati,Mountain,Central,Bagmati,Mountain,Central
2015/08/25,2072-05-08,15:08,27.68,86.22,4.0,Dolakha,Janakpur,Mountain,Central,Janakpur,Mountain,Central
2015/08/23,2072-05-06,14:47,27.87,86.17,5.1,Dolakha,Janakpur,Mountain,Central,Janakpur,Mountain,Central
2015/08/21,2072-05-04,12:21,27.96,85.48,4.0,Nuwakot,Bagmati,Hill,Central,Bagmati,Hill,Central
2015/08/20,2072-05-03,11:47,28,85.29,4.6,Rasuwa,Bagmati,Mountain,Central,Bagmati,Mountain,Central
2015/08/18,2072-05-01,04:08,27.93,86.14,4.8,Dolakha,Janakpur,Mountain,Central,Janakpur,Mountain,Central
2015/08/15,2072-04-30,23:56,27.71,86.05,4.8,Dolakha,Janakpur,Mountain,Central,Janakpur,Mountain,Central
2015/08/15,2072-04-30,10:10,27.87,86.08,4.1,Dolakha,Janakpur,Mountain,Central,Janakpur,Mountain,Central
2015/08/14,2072-04-29,18:47,27.59,85.97,4.3,Dolakha,Janakpur,Mountain,Central,Janakpur,Mountain,Central
2015/08/13,2072-04-28,01:49,27.72,85.2,4.0,Kathmandu,Bagmati,Hill,Central,Bagmati,Hill,Central
2015/08/11,2072-04-26,10:42,27.7,85.29,4.3,Kathmandu,Bagmati,Hill,Central,Bagmati,Hill,Central
2015/08/10,2072-04-25,04:15,28.14,84.72,4.9,Gorkha,Gandaki,Hill,Western,Gandaki,Hill,Western
2015/08/09,2072-04-24,07:55,27.94,85.52,4.1,Sindhupalchok,Bagmati,Mountain,Central,Bagmati,Mountain,Central
2015/08/08,2072-04-23,21:25,27.69,86.26,4.1,Dolakha,Janakpur,Mountain,Central,Janakpur,Mountain,Central
2015/08/08,2072-04-23,06:24,27.77,85.7,4.0,Sindhupalchok,Bagmati,Mountain,Central,Bagmati,Mountain,Central
2015/08/07,2072-04-22,11:57,27.5,85.5,4.4,Kavre,Bagmati,Hill,Central,Bagmati,Hill,Central
2015/08/06,2072-04-21,20:36,27.86,85.76,4.1,Sindhupalchok,Bagmati,Mountain,Central,Bagmati,Mountain,Central
2015/08/05,2072-04-20,17:38,27.63,86.07,4.1,Dolakha,Janakpur,Mountain,Central,Janakpur,Mountain,Central
2015/08/05,2072-04-20,13:59,27.64,86.07,4.3,Dolakha,Janakpur,Mountain,Central,Janakpur,Mountain,Central
2015/08/01,2072-04-16,07:22,27.81,85.71,4.2,Sindhupalchok,Bagmati,Mountain,Central,Bagmati,Mountain,Central
2015/07/30,2072-04-14,20:18,27.66,86.09,4.5,Dolakha,Janakpur,Mountain,Central,Janakpur,Mountain,Central
2015/07/28,2072-04-12,21:23,27.59,86.17,4.1,Dolakha,Janakpur,Mountain,Central,Janakpur,Mountain,Central
2015/07/28,2072-04-12,18:38,27.68,86.04,4.0,Dolakha,Janakpur,Mountain,Central,Janakpur,Mountain,Central
2015/07/28,2072-04-12,09:21,27.8,85.75,4.1,Sindhupalchok,Bagmati,Mountain,Central,Bagmati,Mountain,Central
2015/07/27,2072-04-11,18:23,27.94,85.48,4.2,Nuwakot,Bagmati,Hill,Central,Bagmati,Hill,Central
2015/07/26,2072-04-10,10:03,27.85,85.75,4.0,Sindhupalchok,Bagmati,Mountain,Central,Bagmati,Mountain,Central
2015/07/26,2072-04-10,09:30,27.68,86.22,4.1,Dolakha,Janakpur,Mountain,Central,Janakpur,Mountain,Central
2015/07/25,2072-04-09,20:04,27.66,86,4.5,Dolakha,Janakpur,Mountain,Central,Janakpur,Mountain,Central
2015/07/25,2072-04-09,00:05,27.61,86.28,4.3,Dolakha,Janakpur,Mountain,Central,Janakpur,Mountain,Central
2015/07/22,2072-04-06,22:14,27.7,85.32,4.6,Kathmandu,Bagmati,Hill,Central,Bagmati,Hill,Central
2015/07/21,2072-04-05,08:09,27.86,86.39,4.3,Dolakha,Janakpur,Mountain,Central,Janakpur,Mountain,Central
2015/07/17,2072-04-01,05:09,28.18,84.74,4.0,Gorkha,Gandaki,Hill,Western,Gandaki,Hill,Western
2015/07/13,2072-03-28,17:39,27.63,86.09,4.2,Dolakha,Janakpur,Mountain,Central,Janakpur,Mountain,Central
2015/07/13,2072-03-28,16:01,28.06,85.34,4.0,Rasuwa,Bagmati,Mountain,Central,Bagmati,Mountain,Central
2015/07/11,2072-03-26,02:28,27.8,86.23,4.4,Dolakha,Janakpur,Mountain,Central,Janakpur,Mountain,Central
2015/07/09,2072-03-24,17:59,27.89,85.73,4.4,Sindhupalchok,Bagmati,Mountain,Central,Bagmati,Mountain,Central
2015/07/08,2072-03-23,10:19,27.6,86.23,4.1,Dolakha,Janakpur,Mountain,Central,Janakpur,Mountain,Central
2015/07/08,2072-03-23,09:55,27.92,85.68,4.2,Sindhupalchok,Bagmati,Mountain,Central,Bagmati,Mountain,Central
2015/07/06,2072-03-21,21:14,27.96,85.75,4.4,Sindhupalchok,Bagmati,Mountain,Central,Bagmati,Mountain,Central
2015/07/06,2072-03-21,10:48,27.69,86.2,4.3,Dolakha,Janakpur,Mountain,Central,Janakpur,Mountain,Central
2015/07/05,2072-03-20,10:07,27.67,86.2,4.2,Dolakha,Janakpur,Mountain,Central,Janakpur,Mountain,Central
2015/07/05,2072-03-20,01:27,27.86,85.87,4.4,Sindhupalchok,Bagmati,Mountain,Central,Bagmati,Mountain,Central
2015/07/04,2072-03-19,01:49,27.73,85,4.6,Dhading,Bagmati,Hill,Central,Bagmati,Hill,Central
2015/07/02,2072-03-17,07:41,27.97,85.62,5.0,Sindhupalchok,Bagmati,Mountain,Central,Bagmati,Mountain,Central
2015/07/02,2072-03-17,05:26,27.67,85.54,4.1,Kavre,Bagmati,Hill,Central,Bagmati,Hill,Central
2015/07/01,2072-03-16,15:34,28.06,85.14,4.0,Nuwakot,Bagmati,Hill,Central,Bagmati,Hill,Central
2015/07/01,2072-03-16,09:12,27.71,86.12,4.0,Dolakha,Janakpur,Mountain,Central,Janakpur,Mountain,Central
2015/07/01,2072-03-16,03:33,27.8,85.74,4.0,Sindhupalchok,Bagmati,Mountain,Central,Bagmati,Mountain,Central
2015/06/30,2072-03-15,3:31,27.55,85.79,4.4,Kavre,Bagmati,Hill,Central,Bagmati,Hill,Central
2015/06/29,2072-03-14,23:34,27:93,85:64,4.0,Sindhupalchok,Bagmati,Mountain,Central,Bagmati,Mountain,Central
2015/06/29,2072-03-14,23:27,27.92,85.68,4.1,Sindhupalchok,Bagmati,Mountain,Central,Bagmati,Mountain,Central
2015/06/29,2072-03-14,05:42,27.35,86.2,5.0,Ramechhap,Janakpur,Hill,Central,Janakpur,Hill,Central
2015/06/28,2072-03-13,22:01,27.92,85.66,4.3,Sindhupalchok,Bagmati,Mountain,Central,Bagmati,Mountain,Central
2015/06/26,2072-03-11,18:02,27.74,86.28,4.2,Dolakha,Janakpur,Mountain,Central,Janakpur,Mountain,Central
2015/06/26,2072-03-11,14:45,27.58,85.39,4.1,Lalitpur,Bagmati,Hill,Central,Bagmati,Hill,Central
